ad_ed	total	reporting	candidate|Tomas Ramos	candidate|Samelys López	candidate|Frangell Basora	candidate|Melissa Mark-Viverito	candidate|Michael A. Blake	candidate|Rubén Díaz	candidate|Mark Escoffery-Bey	candidate|Ritchie Torres	candidate|Chivona R. Newsome	candidate|Ydanis Rodriguez	candidate|Julio Pabón	candidate|Marlene J. Tapper	candidate|Write-In
77-001	36	99.00%	2	3	0	6	10	1	0	9	2	3	0	0	0
77-002	55	99.00%	1	6	0	4	10	7	0	18	1	8	0	0	0
77-003	144	99.00%	2	25	0	9	13	17	1	39	10	25	0	3	0
77-004	122	99.00%	5	23	0	5	15	24	0	26	2	21	1	0	0
77-005	145	99.00%	2	17	0	3	18	24	0	58	4	18	1	0	0
77-006	112	99.00%	2	18	0	4	24	14	0	33	3	14	0	0	0
77-007	133	99.00%	3	15	1	6	24	12	0	36	2	33	0	1	0
77-008	97	99.00%	0	10	0	2	18	13	1	33	2	17	0	1	0
77-009	105	99.00%	6	10	2	3	26	15	0	27	2	13	0	1	0
77-010	164	99.00%	3	22	0	2	30	13	1	51	2	40	0	0	0
77-011	152	99.00%	4	20	0	3	17	14	0	33	1	58	0	0	2
77-012	87	99.00%	3	20	0	8	11	8	0	26	3	8	0	0	0
77-013	104	99.00%	6	14	0	3	18	11	0	25	3	21	0	2	1
77-014	114	99.00%	4	21	0	5	9	8	0	27	3	35	0	0	2
77-015	61	99.00%	4	13	0	4	10	11	0	10	1	8	0	0	0
77-016	121	99.00%	6	11	0	2	21	9	0	44	2	24	0	1	1
77-017	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
77-018	101	99.00%	3	15	0	2	15	6	1	30	2	26	0	1	0
77-019	98	99.00%	1	12	0	5	10	15	0	30	1	21	1	0	2
77-020	88	99.00%	2	13	0	4	8	9	0	22	3	24	1	1	1
77-021	93	99.00%	2	12	2	4	16	15	0	22	1	16	1	1	1
77-022	138	99.00%	7	25	2	5	24	17	0	28	0	28	1	0	1
77-032	112	99.00%	3	16	0	1	20	21	1	24	0	23	0	2	1
77-033	96	99.00%	4	12	0	1	15	10	0	18	0	35	0	1	0
77-034	88	99.00%	2	10	0	3	15	14	0	18	2	23	0	1	0
77-035	46	99.00%	6	7	0	4	8	5	0	6	1	9	0	0	0
77-036	117	99.00%	2	13	0	4	46	9	1	24	2	16	0	0	0
77-037	107	99.00%	5	14	0	4	17	28	1	20	0	17	1	0	0
77-038	131	99.00%	6	12	0	6	21	13	0	31	2	39	0	1	0
77-039	118	99.00%	4	28	0	4	12	15	0	26	3	25	1	0	0
77-040	98	99.00%	3	19	0	4	13	15	0	27	1	13	0	2	1
77-041	100	99.00%	5	22	1	5	3	17	1	19	0	24	0	3	0
77-042	118	99.00%	3	18	1	5	17	24	0	25	5	18	1	1	0
77-043	112	99.00%	2	15	1	3	27	16	4	19	1	21	1	2	0
77-044	94	99.00%	4	8	0	2	18	14	4	25	0	17	1	0	1
77-045	100	99.00%	3	16	1	3	15	8	0	24	14	16	0	0	0
77-046	80	99.00%	0	11	0	3	10	5	3	20	6	21	0	1	0
77-047	131	99.00%	4	14	2	5	28	18	0	30	14	15	0	0	1
77-048	113	99.00%	6	19	1	2	14	12	0	32	6	21	0	0	0
77-049	80	99.00%	6	12	0	2	8	5	0	19	14	13	1	0	0
77-050	122	99.00%	4	20	1	8	21	13	0	20	0	35	0	0	0
77-051	120	99.00%	1	12	1	1	36	14	0	37	4	13	1	0	0
77-052	1	99.00%	0	0	0	0	0	0	1	0	0	0	0	0	0
77-053	167	99.00%	4	27	1	8	44	23	0	34	2	20	1	2	1
77-054	167	99.00%	5	11	0	5	17	38	0	56	2	31	1	1	0
77-055	196	99.00%	8	24	0	6	27	37	2	59	10	21	0	1	1
77-056	162	99.00%	8	22	0	7	41	17	0	46	8	13	0	0	0
77-057	190	99.00%	2	28	0	2	51	17	3	59	19	9	0	0	0
77-058	141	99.00%	3	19	0	5	25	7	1	57	14	9	1	0	0
77-059	106	99.00%	2	3	0	5	9	7	0	29	40	11	0	0	0
77-060	117	99.00%	2	12	0	8	16	15	0	38	12	12	2	0	0
77-061	62	99.00%	1	6	1	2	6	6	2	15	6	15	0	2	0
77-062	234	99.00%	4	35	0	8	43	30	2	75	18	18	0	0	1
77-063	145	99.00%	2	7	0	2	35	32	1	30	6	30	0	0	0
77-064	59	99.00%	1	5	0	2	6	10	0	22	0	13	0	0	0
77-065	146	99.00%	9	18	0	14	24	15	0	35	9	19	1	2	0
77-066	19	99.00%	0	6	0	3	2	0	0	6	0	0	2	0	0
77-067	69	99.00%	3	11	1	3	7	12	0	11	4	16	1	0	0
77-068	106	99.00%	3	9	0	10	18	13	1	35	7	8	0	2	0
77-069	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
77-070	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
77-071	132	99.00%	4	32	0	5	24	9	0	28	3	27	0	0	0
77-072	155	99.00%	3	31	1	7	20	12	0	44	28	9	0	0	0
77-073	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
77-074	151	99.00%	1	17	0	3	34	13	0	34	5	42	1	1	0
77-075	78	99.00%	1	10	0	3	15	10	0	19	1	15	0	1	3
77-076	106	99.00%	7	11	0	3	19	16	3	27	2	18	0	0	0
77-077	68	99.00%	6	7	0	2	16	7	1	20	1	7	0	1	0
77-078	111	99.00%	1	11	0	8	25	8	0	24	6	28	0	0	0
77-079	46	99.00%	2	5	1	3	9	9	0	6	0	11	0	0	0
77-080	48	99.00%	3	8	0	2	8	3	0	13	0	10	1	0	0
77-082	62	99.00%	1	8	0	1	9	2	0	30	7	4	0	0	0
78-001	89	83.33%	0	5	0	3	17	9	0	41	1	10	1	0	2
78-002	72	99.00%	1	9	0	3	15	7	0	22	2	10	0	3	0
78-003	103	83.33%	4	12	0	1	4	11	0	58	2	10	1	0	0
78-004	58	99.00%	2	1	0	0	6	8	0	32	1	7	1	0	0
78-005	71	83.33%	0	9	1	1	6	8	0	32	1	11	0	1	1
78-006	182	99.00%	5	15	2	7	16	18	0	105	2	11	0	1	0
78-007	7	83.33%	1	0	0	0	3	0	0	2	0	1	0	0	0
78-008	110	99.00%	3	19	0	8	5	15	1	43	3	12	0	1	0
78-009	72	83.33%	0	9	0	1	10	6	0	36	5	4	0	0	1
78-010	92	99.00%	4	10	0	0	12	12	0	38	1	11	1	1	2
78-011	97	99.00%	0	10	0	0	9	13	0	53	5	6	0	1	0
78-012	82	99.00%	4	9	0	2	7	15	0	35	1	8	0	1	0
78-039	39	83.33%	0	4	0	1	0	6	0	23	1	4	0	0	0
78-042	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
78-043	54	99.00%	2	7	1	1	2	10	0	10	2	16	1	2	0
78-057	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
78-062	58	83.33%	1	5	0	2	6	6	0	27	1	8	0	2	0
78-063	45	99.00%	3	5	0	2	4	8	1	15	0	5	0	0	2
78-064	64	99.00%	4	4	0	1	6	17	0	23	1	4	1	0	3
78-069	129	83.33%	1	12	0	1	10	5	1	90	2	6	0	1	0
78-070	97	99.00%	6	4	0	10	5	17	0	42	2	10	0	0	1
79-001	67	83.33%	1	6	0	0	5	6	0	42	2	5	0	0	0
79-002	115	99.00%	2	11	0	4	34	18	0	31	0	13	1	1	0
79-003	51	99.00%	1	3	0	1	17	6	0	15	1	6	0	1	0
79-004	111	99.00%	5	11	0	1	32	13	0	35	3	8	0	2	1
79-005	59	99.00%	1	5	0	0	14	13	0	21	1	3	0	1	0
79-006	88	99.00%	2	10	1	2	21	22	1	18	1	9	0	0	1
79-007	94	99.00%	2	17	0	4	16	19	0	25	0	6	3	0	2
79-008	101	99.00%	1	19	1	5	20	16	0	29	2	8	0	0	0
79-009	52	99.00%	2	0	1	1	15	6	1	22	0	4	0	0	0
79-010	91	99.00%	1	6	0	6	36	9	2	23	0	6	0	0	2
79-011	62	99.00%	2	12	0	4	10	8	0	16	2	7	0	1	0
79-012	20	99.00%	0	2	0	0	6	3	0	4	1	4	0	0	0
79-013	126	99.00%	8	12	0	5	28	20	0	24	2	25	0	0	2
79-014	39	99.00%	3	2	0	0	16	8	0	10	0	0	0	0	0
