ad_ed	total_reg_dems	absentee_requested	total	reporting	candidate|Jabari Brisport	candidate|Tremaine S. Wright	candidate|Jason Salmon	candidate|Write-In	absentee|Jabari Brisport	absentee|Tremaine S. Wright	absentee|Jason Salmon	absentee|Write-In	totalAbsentee
43-012	795	149	194	99.00%	105	79	10	0					0
43-045	979	206	219	99.00%	122	86	10	1					0
43-046	928	180	181	99.00%	109	66	6	0					0
43-047	591	99	124	99.00%	70	47	7	0					0
43-048	608	61	117	99.00%	54	58	5	0					0
43-049	796	87	184	99.00%	71	101	12	0					0
43-050	862	170	209	99.00%	102	98	9	0					0
43-051	843	122	227	99.00%	107	93	27	0					0
43-072	585	111	136	99.00%	61	68	7	0					0
43-087	813	189	189	99.00%	118	57	14	0					0
50-001	561	45	57	99.00%	8	35	8	6	3	2	1	7	13
50-014	342	34	55	99.00%	23	26	6	0	6	5	2		13
50-083	658	78	103	99.00%	54	36	10	3					0
50-084	126	22	31	99.00%	23	4	2	2					0
50-085	191	42	29	99.00%	25	3	1	0					0
50-086	12	32	0	99.00%	0	0	0	0					0
50-088	139	203	24	99.00%	21	3	0	0					0
50-089	802	131	140	85.71%	98	35	7	0					0
50-090	592	129	120	99.00%	98	17	5	0					0
50-091	597	149	91	85.71%	63	19	9	0					0
50-092	673	25	117	85.71%	89	20	7	1					0
50-093	140	173	32	99.00%	21	8	3	0					0
50-099	656	94	110	85.71%	82	16	12	0					0
50-104	0	0	0	99.00%	0	0	0	0					0
50-106	0	0	0	99.00%	0	0	0	0					0
51-008	267	65	31	99.00%	21	5	5	0	50	14	9	2	75
51-044	225	4	27	99.00%	19	7	1	0					0
51-045	15	11	5	99.00%	3	1	1	0					0
51-046	28	164	2	99.00%	1	0	1	0					0
51-048	24	37	0	99.00%	0	0	0	0					0
51-049	603	54	150	99.00%	101	34	12	3					0
51-050	372	47	40	99.00%	21	13	6	0					0
51-051	738	73	87	99.00%	41	28	18	0					0
51-052	476	70	55	99.00%	26	10	19	0					0
51-053	404	153	42	99.00%	28	11	3	0					0
51-054	553	40	76	99.00%	40	26	10	0					0
51-055	655	63	112	99.00%	88	13	11	0					0
51-068	157	46	29	99.00%	21	5	3	0					0
51-069	573	59	82	99.00%	32	40	10	0					0
51-070	702	138	105	99.00%	31	57	16	1					0
51-071	742	96	119	99.00%	39	64	16	0					0
51-072	717	36	141	99.00%	95	36	10	0					0
51-073	794	73	132	99.00%	76	44	12	0					0
51-074	639	73	68	99.00%	17	34	16	1					0
51-081	529	99	54	99.00%	32	16	6	0					0
51-084	0	0	0	99.00%	0	0	0	0					0
51-086	0	0	0	99.00%	0	0	0	0					0
51-087	0	0	0	99.00%	0	0	0	0					0
52-003	242	225	31	66.67%	21	10	0	0					0
52-022	433	73	65	99.00%	31	27	7	0					0
52-023	517	356	108	66.67%	42	46	20	0					0
52-024	358	731	74	99.00%	43	21	10	0					0
52-025	1024	243	153	66.67%	86	51	16	0					0
52-027	2071	188	304	99.00%	220	62	21	1					0
52-028	802	236	103	99.00%	55	41	7	0					0
52-029	628	237	96	99.00%	59	24	13	0					0
52-030	781	215	131	99.00%	77	38	16	0					0
52-031	727	183	133	99.00%	75	43	15	0					0
52-032	807	202	129	99.00%	60	51	17	1					0
52-033	601	168	98	99.00%	51	37	10	0					0
52-048	593	137	98	99.00%	69	20	9	0					0
52-049	682	63	107	99.00%	74	21	12	0					0
52-050	481	44	81	99.00%	54	19	7	1					0
52-051	962	103	116	99.00%	41	53	22	0					0
52-052	920	39	98	99.00%	32	55	11	0					0
52-053	689	153	139	99.00%	59	69	11	0					0
52-054	591	157	87	99.00%	31	47	9	0					0
52-055	750	178	122	99.00%	85	27	10	0					0
52-056	701	180	92	99.00%	61	25	6	0					0
52-057	636	268	134	99.00%	88	30	16	0					0
52-058	578	188	96	99.00%	67	22	7	0					0
52-059	844	223	142	99.00%	88	40	14	0					0
52-060	637	166	109	99.00%	72	34	2	1					0
52-061	666	2	117	99.00%	81	28	7	1					0
52-062	566	323	73	99.00%	56	11	6	0					0
52-063	3	298	0	99.00%	0	0	0	0					0
52-089	872	154	133	99.00%	98	29	6	0					0
52-090	907	34	140	99.00%	90	35	15	0					0
52-091	565	233	84	99.00%	56	23	5	0					0
52-095	152	325	18	99.00%	11	2	5	0					0
52-096	748	246	128	99.00%	88	27	13	0					0
52-097	1070	240	158	99.00%	99	45	13	1					0
52-098	716	177	127	99.00%	78	29	20	0					0
52-099	759	157	126	99.00%	86	28	12	0					0
52-100	680	11	99	99.00%	71	24	4	0					0
52-104	401	198	89	99.00%	27	55	7	0					0
52-106	29	207	9	99.00%	7	1	1	0					0
52-107	663	81	93	99.00%	67	19	7	0					0
52-108	647	232	114	99.00%	72	31	11	0					0
52-109	475	142	79	99.00%	55	14	10	0					0
52-112	793	35	122	99.00%	86	24	12	0					0
52-115	374	14	68	66.67%	25	36	7	0					0
52-118	0	0	0	99.00%	0	0	0	0					0
52-121	0	0	0	99.00%	0	0	0	0					0
52-124	0	0	0	99.00%	0	0	0	0					0
52-125	0	0	0	99.00%	0	0	0	0					0
52-126	0	0	0	99.00%	0	0	0	0					0
54-015	253	94	72	99.00%	39	32	1	0					0
54-026	123	83	16	99.00%	10	6	0	0					0
55-002	597	9	120	99.00%	88	30	2	0					0
55-004	653	66	136	99.00%	65	64	7	0					0
55-008	87	96	24	99.00%	12	11	1	0					0
55-009	829	87	121	99.00%	66	48	7	0					0
55-010	776	90	156	99.00%	80	72	4	0					0
55-011	870	42	141	99.00%	70	62	9	0					0
55-012	839	113	30	99.00%	15	14	1	0					0
55-017	442	108	74	99.00%	31	37	6	0					0
55-018	892	95	167	99.00%	79	82	6	0					0
55-019	998	62	185	99.00%	87	91	7	0					0
55-020	935	57	103	99.00%	47	48	8	0					0
55-021	857	78	106	99.00%	38	60	8	0					0
55-022	732	65	62	99.00%	22	37	3	0					0
55-023	839	77	116	99.00%	45	65	6	0					0
55-024	894	18	151	99.00%	76	67	8	0					0
55-025	954	26	142	99.00%	75	64	3	0					0
55-028	349	65	40	99.00%	14	24	2	0					0
55-029	276	41	47	99.00%	23	21	3	0					0
55-030	726	68	34	99.00%	11	21	2	0					0
55-031	603	41	147	99.00%	53	86	8	0					0
55-032	819	48	3	83.33%	0	3	0	0					0
55-033	795	29	136	99.00%	47	75	14	0					0
55-034	768	57	147	99.00%	57	83	7	0					0
55-101	471	62	106	99.00%	47	51	8	0					0
55-102	765	44	102	99.00%	45	47	9	1					0
55-103	855	80	7	83.33%	5	2	0	0					0
55-104	599	54	6	83.33%	0	5	1	0					0
55-107	1004	44	6	83.33%	1	5	0	0					0
55-108	559	63	138	99.00%	51	78	9	0					0
55-109	398	122	74	99.00%	38	32	4	0					0
55-111	0	0	0	99.00%	0	0	0	0					0
56-005	607	116	101	99.00%	43	55	3	0					0
56-012	739	115	146	99.00%	88	52	6	0	61	15	4		80
56-013	825	146	196	99.00%	106	76	13	1	59	6			65
56-014	894	149	172	99.00%	104	57	10	1	60	9	3	3	75
56-015	985	95	186	99.00%	94	83	9	0	61	22	6	1	90
56-016	931	124	171	99.00%	91	76	4	0	63	21	4	3	91
56-018	744	109	162	99.00%	63	95	4	0	22	17	1	3	43
56-019	846	118	194	99.00%	86	102	6	0	44	15		1	60
56-021	900	131	176	99.00%	86	89	1	0	32	9	1	3	45
56-022	781	128	222	99.00%	67	146	8	1	12	25		2	39
56-023	936	93	200	99.00%	92	104	4	0	36	28	2	2	68
56-024	996	101	148	99.00%	68	77	3	0	52	15	3	1	71
56-025	883	133	135	99.00%	63	65	7	0	36	17	5	3	61
56-026	679	121	129	99.00%	61	64	4	0	50	13	2		65
56-027	955	73	167	99.00%	88	71	8	0	50	22		2	74
56-028	968	72	170	99.00%	71	95	4	0	48	26		1	75
56-029	820	78	112	99.00%	38	73	1	0	12	13	1		26
56-030	929	116	176	99.00%	44	123	9	0	10	5	1		16
56-031	796	133	179	99.00%	89	85	5	0	24	6	1		31
56-032	977	111	217	99.00%	94	110	12	1	45	15	3	1	64
56-033	805	188	190	99.00%	67	119	4	0	40	26	3	1	70
56-034	730	112	148	99.00%	72	73	3	0	33	15	1	4	53
56-035	989	124	176	99.00%	86	85	5	0	77	27	4	2	110
56-036	741	178	158	99.00%	85	67	6	0	40	23	3		66
56-037	807	131	186	99.00%	71	113	2	0	64	22	2		88
56-038	897	180	216	99.00%	117	94	5	0	81	37	2		120
56-039	641	143	136	99.00%	59	76	1	0	51	19	3		73
56-040	858	151	207	99.00%	89	114	4	0	61	30	2		93
56-041	914	145	227	99.00%	88	128	11	0	54	24	5		83
56-042	866	101	207	99.00%	86	117	4	0	61	27	1		89
56-043	752	158	195	99.00%	69	121	5	0	49	29	3	1	82
56-044	763	108	156	99.00%	68	83	5	0	39	15	1	3	58
56-045	899	154	180	99.00%	64	114	2	0	53	27	3	4	87
56-046	737	169	181	99.00%	71	102	8	0	23	25	1	1	50
56-047	837	145	189	99.00%	76	102	10	1	61	21	2		84
56-048	853	121	168	99.00%	66	97	5	0	42	34	8	3	87
56-049	766	88	176	99.00%	68	102	6	0	51	32	1	1	85
56-050	719	165	197	99.00%	79	114	4	0	34	31	3	1	69
56-051	674	150	155	99.00%	47	106	2	0	17	25	4	3	49
56-052	872	103	177	99.00%	78	97	2	0	54	29	3	3	89
56-053	930	151	218	99.00%	96	117	5	0	79	19	2		100
56-054	819	63	103	99.00%	41	59	3	0	37	13			50
56-055	844	118	239	99.00%	99	133	7	0	70	11	2		83
56-056	336	146	98	99.00%	44	49	5	0	21	20			41
56-057	962	59	112	99.00%	37	70	5	0	25	27			52
56-058	844	49	90	99.00%	46	43	1	0	62	18	3		83
56-059	822	101	122	99.00%	50	67	5	0	17	8			25
56-060	867	81	112	99.00%	32	74	6	0	8	9	2		19
56-061	718	43	133	99.00%	81	50	2	0	31	14	3	1	49
56-062	780	41	108	99.00%	42	59	7	0	32	30	2	1	65
56-063	781	96	109	99.00%	37	62	10	0	7	6	1	1	15
56-064	791	16	93	99.00%	30	60	3	0	1	4			5
56-065	766	46	148	99.00%	63	78	7	0	23	15	3	1	42
56-066	381	83	51	99.00%	23	27	1	0	5	1			6
56-067	353	91	94	99.00%	40	43	9	2	16	9		1	26
56-068	626	79	135	99.00%	49	74	12	0	17	13	1	1	32
56-069	745	45	140	99.00%	48	79	13	0	29	18			47
56-070	691	120	84	99.00%	34	45	5	0	24	20	1		45
56-071	867	81	162	99.00%	44	106	12	0	2	10	3		15
56-072	881	174	218	99.00%	86	124	8	0	47	25	2	4	78
56-074	628	164	115	99.00%	37	68	10	0	30	19	1		50
56-079	945	38	221	99.00%	141	69	11	0	66	27	4	4	101
56-080	883	102	197	99.00%	79	112	6	0	40	27	5	3	75
56-081	489	42	107	99.00%	38	65	4	0		1			1
56-082	794	72	80	99.00%	22	55	3	0	26	18	3	2	49
56-083	599	194	4	99.00%	1	3	0	0	2	4	1	1	8
56-084	664	85	101	99.00%	35	61	5	0	22	12	2	1	37
56-085	972	144	214	99.00%	150	53	11	0	92	23	4	2	121
56-086	830	133	161	99.00%	87	70	3	1	32	14	2	8	56
56-087	658	99	133	99.00%	84	44	5	0	65	17	1	3	86
56-088	787	127	187	99.00%	92	94	1	0	39	20	2	1	62
56-089	699	186	159	99.00%	52	99	8	0	34	22		2	58
56-090	846	55	217	99.00%	90	117	10	0	41	21	4	1	67
56-091	845	60	103	99.00%	64	37	2	0	80	31	5	8	124
57-001	696	43	67	99.00%	30	30	6	1	14	7	2		23
57-002	849	108	115	99.00%	50	49	16	0	3	19			22
57-003	732	19	109	99.00%	48	46	15	0	5	5	3		13
57-004	346	60	77	99.00%	42	27	7	1	43	7	6		56
57-005	198	34	30	99.00%	16	11	3	0	4	3		1	8
57-006	780	89	18	99.00%	8	8	2	0	8	5		1	14
57-007	599	136	51	99.00%	17	27	7	0	3	4		3	10
57-008	724	392	75	99.00%	36	29	9	1	27	12		3	42
57-009	733	162	136	99.00%	65	47	24	0	32	21	10	1	64
