ad_ed	total_reg_dems	absentee_requested	total	reporting	candidate|Aravella Simotas	candidate|Zohran Kwame Mamdani	candidate|Write-In	absentee|Zohran Kwame Mamdani	absentee|Aravella Simotas	absentee|Write-In	totalAbsentee
36-001	613	314	118	99.00%	81	37	0	42	140	12	194
36-002	484	225	49	99.00%	35	14	0	31	93	6	130
36-003	445	169	71	99.00%	30	41	0	48	47	1	96
36-004	564	232	102	99.00%	39	63	0	66	63	4	133
36-005	454	174	84	99.00%	38	46	0	50	48	3	101
36-006	652	260	96	99.00%	40	56	0	69	79	4	152
36-007	466	199	74	99.00%	28	45	1	61	51	2	114
36-008	678	262	122	99.00%	63	59	0	47	89	4	140
36-009	388	115	52	99.00%	21	31	0	28	32		60
36-010	667	220	126	99.00%	50	76	0	52	45	1	98
36-011	667	146	125	99.00%	56	69	0		64		64
36-012	645	235	111	99.00%	43	66	2	62	49	4	115
36-013	475	182	117	99.00%	60	57	0	50	36	2	88
36-014	664	174	103	99.00%	52	51	0	54	31		85
36-015	649	216	124	99.00%	63	59	2	67	47	5	119
36-016	604	230	104	99.00%	40	64	0	72	54	4	130
36-017	587	244	118	99.00%	60	58	0	79	60	3	142
36-018	697	287	105	99.00%	45	60	0	83	88	3	174
36-019	716	254	119	99.00%	50	69	0	69	60	1	130
36-020	628	231	129	99.00%	57	72	0	71	65	2	138
36-021	742	263	125	99.00%	48	77	0	78	58	5	141
36-022	704	271	125	99.00%	35	90	0	85	84	5	174
36-023	525	174	67	99.00%	29	38	0	47	47	3	97
36-024	600	197	101	99.00%	39	62	0	57	44	2	103
36-025	627	187	84	99.00%	23	60	1	69	40	1	110
36-026	598	189	86	99.00%	43	43	0	63	51	6	120
36-027	658	201	134	99.00%	54	80	0	58	57	2	117
36-028	572	188	86	99.00%	36	48	2	56	46	5	107
36-029	576	169	82	99.00%	42	39	1	39	55	5	99
36-030	627	210	87	99.00%	28	59	0	56	49	3	108
36-031	626	170	150	99.00%	51	99	0	39	54	2	95
36-032	614	214	110	99.00%	42	68	0	59	61	2	122
36-033	373	125	85	99.00%	51	34	0	35	52	2	89
36-034	580	215	111	99.00%	41	70	0	62	51	3	116
36-035	620	225	114	99.00%	49	65	0	63	57	7	127
36-036	689	300	162	99.00%	64	98	0	85	86	4	175
36-037	684	240	121	99.00%	63	58	0	52	61	11	124
36-038	565	213	120	99.00%	63	57	0	39	63	8	110
36-039	604	244	138	99.00%	52	86	0	81	74	5	160
36-040	722	273	153	99.00%	80	73	0	63	89	6	158
36-041	640	224	170	99.00%	99	71	0	51	63	9	123
36-042	654	174	151	99.00%	75	74	2	40	54	2	96
36-043	127	38	18	99.00%	10	8	0	0	13	0	13
36-044	101	21	13	99.00%	11	2	0	7	3	1	11
36-045	687	216	99	99.00%	39	60	0	51	67	9	127
36-046	445	72	76	99.00%	47	29	0	11	26	2	39
36-047	486	103	90	99.00%	68	21	1	11	33	3	47
36-048	477	101	84	99.00%	56	28	0	12	39	1	52
36-049	663	274	94	99.00%	38	56	0	93	71	8	172
36-050	177	20	30	99.00%	17	13	0	1	3	0	4
36-051	80	20	19	99.00%	9	10	0	3	8	0	11
36-052	636	269	151	99.00%	75	75	1	78	56	5	139
36-053	615	209	105	99.00%	64	41	0	48	77	5	130
36-054	575	174	107	99.00%	66	40	1	40	54	5	99
36-055	682	212	149	99.00%	75	74	0	50	54	10	114
36-056	623	200	103	99.00%	40	63	0	42	57	11	110
36-057	523	202	96	99.00%	46	49	1	46	60	13	119
36-058	498	183	97	99.00%	37	60	0	53	55	2	110
36-059	646	216	116	99.00%	43	73	0	78	51	5	134
36-060	489	150	80	99.00%	26	54	0	40	42	4	86
36-061	713	164	151	99.00%	79	71	1	33	45	1	79
36-062	575	136	110	99.00%	68	42	0	27	32	4	63
36-063	662	111	125	99.00%	78	46	1	12	28	5	45
36-064	657	264	144	99.00%	51	92	1	78	58	9	145
36-065	221	80	41	99.00%	15	26	0	25	26	3	54
36-066	642	173	87	99.00%	28	59	0	45	50	7	102
36-067	653	224	121	99.00%	53	68	0	51	59	3	113
36-068	0	0	0	99.00%	0	0	0	0	0	0	0
36-069	0	0	1	99.00%	1	0	0	0	0	0	0
36-070	0	0	0	99.00%	0	0	0	0	0	0	0
36-071	0	0	0	99.00%	0	0	0	0	0	0	0
36-072	740	254	110	99.00%	46	64	0	62	62	4	128
36-073	748	333	159	99.00%	52	107	0	97	90	2	189
36-074	602	171	100	99.00%	46	53	1	41	41	6	88
36-075	494	160	81	99.00%	31	50	0	47	43	5	95
36-076	667	201	128	99.00%	60	68	0	66	40	4	110
36-077	743	293	164	99.00%	72	92	0	69	83	6	158
36-078	467	145	60	99.00%	29	31	0	46	37	6	89
36-079	375	122	91	99.00%	45	45	1	27	37	3	67
36-080	530	182	108	99.00%	45	63	0	35	46	12	93
36-081	687	256	122	99.00%	56	66	0	82	74	6	162
36-082	535	214	108	99.00%	49	59	0	41	71	6	118
36-083	467	79	78	99.00%	44	33	1	14	26	1	41
